Metadata: {"arch":"arm64","binary_sha256":"a56577e06674521560b425142fc3a310a2ad2a296478aa1d2a367759e348a3f7","binary_size":1806448,"console_log":"println","engine":"dmdscript","repository":"https://github.com/DigitalMars/DMDScript.git","revision":"45a0ba2b11162e90de7e96876289c3020ab208f5","revision_date":"2026-03-03","version":"2.1.3"}
compat-table/es6/Object.setPrototypeOf.js: TypeError: Object function Function() { [native code] }.setPrototypeOf is undefined and has no Call method
compat-table/es6/Promise.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Promise.all.iterable.js: SyntaxError: identifier expected following '.', not 'catch'
compat-table/es6/Promise.all.js: SyntaxError: identifier expected following '.', not 'catch'
compat-table/es6/Promise.constructor-requires-new.js: ReferenceError: Variable 'Promise' is not defined
compat-table/es6/Promise.js: SyntaxError: identifier expected following '.', not 'catch'
compat-table/es6/Promise.prototype-not-instance.js: ReferenceError: Variable 'Promise' is not defined
compat-table/es6/Promise.race.iterable.js: SyntaxError: identifier expected following '.', not 'catch'
compat-table/es6/Promise.race.js: SyntaxError: identifier expected following '.', not 'catch'
compat-table/es6/Proxy.Array.isArray.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.JSON.stringify.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.constructor-requires-new.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.apply.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.apply.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.construct.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.construct.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.defineProperty.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.defineProperty.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.deleteProperty.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.deleteProperty.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getPrototypeOf.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getPrototypeOf.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.instances.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.instances.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.isExtensible.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.isExtensible.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.ownKeys.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.ownKeys.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.preventExtensions.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.preventExtensions.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.instances.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.no-prototype.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.revocable.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Reflect.apply.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.Array-subclassing.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.Function-subclassing.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.Promise-subclassing.js: SyntaxError: identifier expected following '.', not 'catch'
compat-table/es6/Reflect.construct.RegExp-subclassing.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.new-target.js: SyntaxError: expression expected, not '.'
compat-table/es6/Reflect.construct.third-argument.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.defineProperty.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.deleteProperty.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.getOwnPropertyDescriptor.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.getPrototypeOf.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.get.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.has.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.isExtensible.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.ownKeys.string.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/Reflect.ownKeys.symbol.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Reflect.preventExtensions.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.setPrototypeOf.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.set.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/RegExp.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.match.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.replace.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.search.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.split.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.flags.js: failed
compat-table/es6/Set.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Set.constructor-accepts-null.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.constructor-arguments.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.constructor-invokes-add.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.constructor-requires-new.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.iterator-closing.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.iterator-prototype-chain.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype-not-instance.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.Symbol.iterator.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.add-returns-this.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.clear.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.delete.js: SyntaxError: identifier expected following '.', not 'delete'
compat-table/es6/Set.prototype.entries.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.forEach.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.keys.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.size.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.values.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.zero-key.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/String.fromCodePoint.js: failed
compat-table/es6/String.iterator-prototype-chain.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/String.prototype.Symbol.iterator.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/String.prototype.codePointAt.js: failed
compat-table/es6/String.prototype.endsWith.js: failed
compat-table/es6/String.prototype.endsWith.throws-regex.js: failed
compat-table/es6/String.prototype.includes.js: failed
compat-table/es6/String.prototype.normalize.js: failed
compat-table/es6/String.prototype.repeat.js: failed
compat-table/es6/String.prototype.startsWith.js: failed
compat-table/es6/String.prototype.startsWith.throws-regex.js: failed
compat-table/es6/String.raw.js: failed
compat-table/es6/Symbol.JSON.stringify.object.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.JSON.stringify.primitive.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.Object.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.String.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.defineProperty.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.global-registry.js: SyntaxError: identifier expected following '.', not 'for'
compat-table/es6/Symbol.hidden-keys.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.no-coerce.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.no-new.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.prototype.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.typeof.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/WeakMap.accept-primitives.js: SyntaxError: identifier expected following '.', not 'delete'
compat-table/es6/WeakMap.constructor-accepts-null.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-arguments.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-invokes-set.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-requires-new.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.frozen-keys.js: TypeError: Object function Function() { [native code] }.freeze is undefined and has no Call method
compat-table/es6/WeakMap.iterator-closing.js: failed
compat-table/es6/WeakMap.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.no-clear.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype-not-instance.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype.delete.js: SyntaxError: identifier expected following '.', not 'delete'
compat-table/es6/WeakMap.prototype.set-returns-this.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakSet.accept-primitives.js: SyntaxError: identifier expected following '.', not 'delete'
compat-table/es6/WeakSet.constructor-accepts-null.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-arguments.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-invokes-add.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-requires-new.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.iterator-closing.js: failed
compat-table/es6/WeakSet.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.no-clear.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype-not-instance.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.add-returns-this.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.delete.js: SyntaxError: identifier expected following '.', not 'delete'
compat-table/es6/annex-b.RegExp.prototype.compile.js: OK
compat-table/es6/annex-b.RegExp.prototype.compile.returns-this.js: failed
compat-table/es6/annex-b.String.prototype.html.existence.js: OK
compat-table/es6/annex-b.String.prototype.html.lowercase.js: failed
compat-table/es6/annex-b.String.prototype.html.quotes-escaped.js: failed
compat-table/es6/annex-b.function.hoisted-block-level.js: failed
compat-table/es6/annex-b.function.if-statement.js: SyntaxError: found 'function' instead of statement
compat-table/es6/annex-b.function.labeled.js: SyntaxError: found 'function' instead of statement
compat-table/es6/annex-b.html-comments.js: crashed: SIGTRAP
compat-table/es6/annex-b.regex.backreferences-octal.js: no matching back reference
compat-table/es6/annex-b.regex.hyphens.js: inverted range in character class
compat-table/es6/annex-b.regex.incomplete-patterns.js: badly formed {n,m}
compat-table/es6/annex-b.regex.invalid-char-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-control-escapes.js: letter expected following \c
compat-table/es6/annex-b.regex.invalid-hex-escapes.js: TypeError: cannot convert Null to Object
compat-table/es6/annex-b.regex.invalid-unicode-escapes.js: TypeError: cannot convert Null to Object
compat-table/es6/annex-b.regex.octal-escapes.js: OK
compat-table/es6/annex-b.__proto__.Object.prototype.absent-from-null.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/annex-b.__proto__.Object.prototype.descriptor.js: TypeError: Object function Function() { [native code] }.getOwnPropertyDescriptor is undefined and has no Call method
compat-table/es6/annex-b.__proto__.Object.prototype.getOwnPropertyNames.js: TypeError: Object function Function() { [native code] }.getOwnPropertyNames is undefined and has no Call method
compat-table/es6/annex-b.__proto__.Object.prototype.get.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.hasOwnProperty.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.set.js: failed
compat-table/es6/annex-b.__proto__.literals.js: failed
compat-table/es6/annex-b.__proto__.literals.multiple-error.js: failed
compat-table/es6/annex-b.__proto__.literals.not-computed.js: SyntaxError: identifier expected
compat-table/es6/annex-b.__proto__.literals.not-shorthand-method.js: SyntaxError: found '(' when expecting ':'
compat-table/es6/annex-b.__proto__.literals.not-shorthand-property.js: SyntaxError: found '}' when expecting ':'
compat-table/es6/arrow.0-params.js: SyntaxError: expression expected, not ''
compat-table/es6/arrow.1-param.js: SyntaxError: expression expected, not '>'
compat-table/es6/arrow.5-param.js: SyntaxError: expression expected, not '>'
compat-table/es6/arrow.bind.js: SyntaxError: expression expected, not '>'
compat-table/es6/arrow.lexical-arguments.js: SyntaxError: expression expected, not '>'
compat-table/es6/arrow.lexical-super.constructor.js: SyntaxError: found 'class' instead of statement
compat-table/es6/arrow.lexical-super.methods.js: SyntaxError: found 'class' instead of statement
compat-table/es6/arrow.lexical-this.js: SyntaxError: expression expected, not '>'
compat-table/es6/arrow.new-target.js: SyntaxError: expression expected, not '>'
compat-table/es6/arrow.no-line-break.js: SyntaxError: expression expected, not ''
compat-table/es6/arrow.no-prototype.js: SyntaxError: expression expected, not ''
compat-table/es6/arrow.precedence.js: SyntaxError: expression expected, not ''
compat-table/es6/arrow.this-call-apply.js: SyntaxError: expression expected, not ''
compat-table/es6/class.accessor-properties.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.anonymous.js: SyntaxError: expression expected, not 'class'
compat-table/es6/class.block-scoped.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.computed-accessor-properties.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.computed-names-tdz.js: SyntaxError: expression expected, not 'class'
compat-table/es6/class.computed-prototype-methods.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.computed-static-accessor-properties.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.computed-static-methods.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.constructor-requires-new.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.constructor.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.expression.js: SyntaxError: expression expected, not 'class'
compat-table/es6/class.extends-expressions.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.extends-null.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.extends.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.implicit-strict.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.lexical-name.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.methods-not-enumerable.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.new-target.js: SyntaxError: expression expected, not '.'
compat-table/es6/class.optional-semicolons.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.prototype-methods.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.statement.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.static-accessor-properties.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.static-methods.js: SyntaxError: found 'class' instead of statement
compat-table/es6/class.string-keyed-methods.js: SyntaxError: found 'class' instead of statement
compat-table/es6/const.basic.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.block-scoped.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.for-in.js: SyntaxError: expression expected, not 'const'
compat-table/es6/const.for-loop.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.for-of.js: SyntaxError: expression expected, not 'const'
compat-table/es6/const.no-redefine.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.no-statement.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.shadow.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.basic.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.block-scoped.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.for-in.js: SyntaxError: expression expected, not 'const'
compat-table/es6/const.strict.for-loop.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.for-of.js: SyntaxError: expression expected, not 'const'
compat-table/es6/const.strict.no-redefine.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.no-statement.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.shadow.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.strict.tdz.js: SyntaxError: found 'const' instead of statement
compat-table/es6/const.tdz.js: SyntaxError: found 'const' instead of statement
compat-table/es6/default-params.arguments.js: SyntaxError: found '=' when expecting ''
compat-table/es6/default-params.basic.js: SyntaxError: found '=' when expecting ''
compat-table/es6/default-params.explicit-undefined.js: SyntaxError: found '=' when expecting ''
compat-table/es6/default-params.new-function.js: SyntaxError: anonymous(1) : Error: comma expected in FormalParameterList, not =
compat-table/es6/default-params.refer-previous.js: SyntaxError: found '=' when expecting ''
compat-table/es6/default-params.separate-scope.js: SyntaxError: found '=' when expecting ''
compat-table/es6/default-params.tdz.js: SyntaxError: found '=' when expecting ''
compat-table/es6/destructuring-assign.array.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.astral-string.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.chained-iterable.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.chained-object.js: SyntaxError: found ',' when expecting ':'
compat-table/es6/destructuring-assign.computed-properties.js: SyntaxError: identifier expected
compat-table/es6/destructuring-assign.defaults.js: SyntaxError: found '=' when expecting ':'
compat-table/es6/destructuring-assign.empty-patterns.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.generator.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.iterable-expression.js: testCode(11) : Error: cannot assign to [a,b]
compat-table/es6/destructuring-assign.iterable-instance.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.iterable.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.iterator-closing.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.nested-rest.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.nested.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.object-expression.js: SyntaxError: found ',' when expecting ':'
compat-table/es6/destructuring-assign.object-primitives.js: SyntaxError: found '}' when expecting ':'
compat-table/es6/destructuring-assign.object.js: SyntaxError: found ',' when expecting ':'
compat-table/es6/destructuring-assign.parenthesised-error.js: SyntaxError: found ',' when expecting ':'
compat-table/es6/destructuring-assign.rest.identical.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.rest.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.sparse-array.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.string.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.throws-null-undefined.js: SyntaxError: found '}' when expecting ':'
compat-table/es6/destructuring-assign.trailing-comma-iterable.js: SyntaxError: found '[' instead of statement
compat-table/es6/destructuring-assign.trailing-comma-object.js: SyntaxError: found ',' when expecting ':'
compat-table/es6/destructuring-decl.array.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.astral-string.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.catch.js: SyntaxError: found '[' when expecting 'TOK58'
compat-table/es6/destructuring-decl.computed-properties.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-decl.defaults-tdz.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-decl.defaults.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-decl.for-in.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.for-of.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.generator.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.iterable-instance.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.iterable.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.iterator-closing.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.multiple-var.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.nested.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.object-primitives.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-decl.object.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-decl.rest.identical.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.rest.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.sparse-array.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.string.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.throws-null-undefined.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-decl.trailing-comma-iterable.js: SyntaxError: identifier expected instead of '['
compat-table/es6/destructuring-decl.trailing-comma-object.js: SyntaxError: identifier expected instead of '{'
compat-table/es6/destructuring-params.aliased-defaults-arrow.js: SyntaxError: expression expected, not '>'
compat-table/es6/destructuring-params.arguments.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.array.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.astral-string.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.computed-properties.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.defaults-new-function.js: SyntaxError: anonymous(1) : Error: Identifier expected in FormalParameterList, not {
compat-table/es6/destructuring-params.defaults-separate-scope.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.defaults.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.duplicate-identifier.js: failed
compat-table/es6/destructuring-params.empty-patterns.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.generator.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.iterable-instance.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.iterable.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.iterator-closing.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.length.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.nested.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.new-function.js: SyntaxError: anonymous(1) : Error: Identifier expected in FormalParameterList, not {
compat-table/es6/destructuring-params.object-primitives.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.object.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.rest.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.shorthand-defaults-arrow.js: SyntaxError: found '=' when expecting ':'
compat-table/es6/destructuring-params.sparse-array.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.string.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.throws-null-undefined.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.trailing-comma-iterable.js: SyntaxError: identifier expected
compat-table/es6/destructuring-params.trailing-comma-object.js: SyntaxError: identifier expected
compat-table/es6/for-of.array.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.astral-string.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.generator.js: SyntaxError: found '*' when expecting '('
compat-table/es6/for-of.iterable-instance.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.iterable.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.iterator-closing-break.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.iterator-closing-throw.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.sparse-array.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/for-of.string.js: SyntaxError: ';' or 'in' expected, not 'of'
compat-table/es6/function.block-level-decl.js: failed
compat-table/es6/generators.basic.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.constructor.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.expression.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.no-new-this.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.prototype-chain.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.prototype.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.return.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.sending.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.shorthand.class.js: SyntaxError: found 'class' instead of statement
compat-table/es6/generators.shorthand.computed.class.js: SyntaxError: found 'class' instead of statement
compat-table/es6/generators.shorthand.computed.js: SyntaxError: identifier expected
compat-table/es6/generators.shorthand.js: SyntaxError: identifier expected
compat-table/es6/generators.shorthand.no-constructor.js: SyntaxError: found 'class' instead of statement
compat-table/es6/generators.shorthand.string-keyed.js: SyntaxError: identifier expected
compat-table/es6/generators.this.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.throw.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-precedence.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.array.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.astral-string.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.generator.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.iterable-instance.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.iterable.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.iterator-closing-throw.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.iterator-closing.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.non-iterable-error.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.sparse-array.js: SyntaxError: found '*' when expecting '('
compat-table/es6/generators.yield-star.string.js: SyntaxError: found '*' when expecting '('
compat-table/es6/let.basic.js: SyntaxError: found 'foo' when expecting ';'
compat-table/es6/let.block-scoped.js: SyntaxError: found 'bar' when expecting ';'
compat-table/es6/let.for-in-shadow.js: failed
compat-table/es6/let.for-iteration.js: SyntaxError: found 'scopes' when expecting ';'
compat-table/es6/let.for-loop.js: SyntaxError: found 'baz' when expecting ';'
compat-table/es6/let.no-statement.js: SyntaxError: found 'bar' when expecting ';'
