Metadata: {"arch":"arm64","binary_sha256":"6f7c2f0fdd37526569ffe18014c1c95853d523e940a484b63251bab4efb271c4","binary_size":4897368,"console_log":"console.log","engine":"otto","go":"1.26.1","repository":"https://github.com/robertkrimen/otto.git","revision":"3ca729876b8973d2faeb6f25d1c8e7dd6580063a","revision_date":"2025-06-13","version":"0.5.1-2-g3ca7298"}
compat-table/es6/Proxy.handler.get.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.instances.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.isExtensible.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.isExtensible.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.ownKeys.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.ownKeys.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.preventExtensions.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.preventExtensions.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.instances.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.no-prototype.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.revocable.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Reflect.apply.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.Array-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.Function-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.Promise-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.RegExp-subclassing.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.construct.new-target.js: SyntaxError: Unexpected token . (and 7 more errors)
compat-table/es6/Reflect.construct.third-argument.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.defineProperty.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.deleteProperty.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.getOwnPropertyDescriptor.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.getPrototypeOf.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.get.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.has.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.isExtensible.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.ownKeys.string.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.ownKeys.symbol.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Reflect.preventExtensions.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.setPrototypeOf.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/Reflect.set.js: ReferenceError: 'Reflect' is not defined
compat-table/es6/RegExp.Symbol.species.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.match.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.replace.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.search.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.split.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/RegExp.prototype.flags.js: failed
compat-table/es6/Set.Symbol.species.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-accepts-null.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-arguments.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-invokes-add.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.constructor-requires-new.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.iterator-closing.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.iterator-prototype-chain.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype-not-instance.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.Symbol.iterator.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.add-returns-this.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.clear.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.delete.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.entries.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.forEach.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.keys.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.size.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.prototype.values.js: ReferenceError: 'Set' is not defined
compat-table/es6/Set.zero-key.js: ReferenceError: 'Set' is not defined
compat-table/es6/String.fromCodePoint.js: failed
compat-table/es6/String.iterator-prototype-chain.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/String.prototype.Symbol.iterator.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/String.prototype.codePointAt.js: failed
compat-table/es6/String.prototype.endsWith.js: failed
compat-table/es6/String.prototype.endsWith.throws-regex.js: failed
compat-table/es6/String.prototype.includes.js: failed
compat-table/es6/String.prototype.normalize.js: failed
compat-table/es6/String.prototype.repeat.js: failed
compat-table/es6/String.prototype.startsWith.js: OK
compat-table/es6/String.prototype.startsWith.throws-regex.js: failed
compat-table/es6/String.raw.js: failed
compat-table/es6/Symbol.JSON.stringify.object.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.JSON.stringify.primitive.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.Object.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.String.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.defineProperty.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.global-registry.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.hidden-keys.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.no-coerce.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.no-new.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.prototype.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Symbol.typeof.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/WeakMap.accept-primitives.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-accepts-null.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-arguments.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-invokes-set.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-requires-new.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.frozen-keys.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.iterator-closing.js: failed
compat-table/es6/WeakMap.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.no-clear.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype-not-instance.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype.delete.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype.set-returns-this.js: ReferenceError: 'WeakMap' is not defined
compat-table/es6/WeakSet.accept-primitives.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-accepts-null.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-arguments.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-invokes-add.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-requires-new.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.iterator-closing.js: failed
compat-table/es6/WeakSet.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.no-clear.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype-not-instance.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.add-returns-this.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.delete.js: ReferenceError: 'WeakSet' is not defined
compat-table/es6/annex-b.RegExp.prototype.compile.js: failed
compat-table/es6/annex-b.RegExp.prototype.compile.returns-this.js: failed
compat-table/es6/annex-b.String.prototype.html.existence.js: failed
compat-table/es6/annex-b.String.prototype.html.lowercase.js: TypeError: "anchor" is not a function
compat-table/es6/annex-b.String.prototype.html.quotes-escaped.js: TypeError: "anchor" is not a function
compat-table/es6/annex-b.function.hoisted-block-level.js: failed
compat-table/es6/annex-b.function.if-statement.js: OK
compat-table/es6/annex-b.function.labeled.js: OK
compat-table/es6/annex-b.html-comments.js: SyntaxError: Unexpected token > (and 2 more errors)
compat-table/es6/annex-b.regex.backreferences-octal.js: OK
compat-table/es6/annex-b.regex.hyphens.js: OK
compat-table/es6/annex-b.regex.incomplete-patterns.js: OK
compat-table/es6/annex-b.regex.invalid-char-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-control-escapes.js: failed
compat-table/es6/annex-b.regex.invalid-hex-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-unicode-escapes.js: OK
compat-table/es6/annex-b.regex.octal-escapes.js: OK
compat-table/es6/annex-b.__proto__.Object.prototype.absent-from-null.js: OK
compat-table/es6/annex-b.__proto__.Object.prototype.descriptor.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.getOwnPropertyNames.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.get.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.hasOwnProperty.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.set.js: failed
compat-table/es6/annex-b.__proto__.literals.js: failed
compat-table/es6/annex-b.__proto__.literals.multiple-error.js: failed
compat-table/es6/annex-b.__proto__.literals.not-computed.js: SyntaxError: Unexpected identifier (and 15 more errors)
compat-table/es6/annex-b.__proto__.literals.not-shorthand-method.js: SyntaxError: Unexpected token ( (and 15 more errors)
compat-table/es6/annex-b.__proto__.literals.not-shorthand-property.js: SyntaxError: Unexpected token } (and 15 more errors)
compat-table/es6/arrow.0-params.js: SyntaxError: Unexpected token ) (and 8 more errors)
compat-table/es6/arrow.1-param.js: SyntaxError: Unexpected token > (and 1 more errors)
compat-table/es6/arrow.5-param.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/arrow.bind.js: SyntaxError: Unexpected token > (and 14 more errors)
compat-table/es6/arrow.lexical-arguments.js: SyntaxError: Unexpected token > (and 7 more errors)
compat-table/es6/arrow.lexical-super.constructor.js: SyntaxError: Unexpected reserved word (and 4 more errors)
compat-table/es6/arrow.lexical-super.methods.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/arrow.lexical-this.js: SyntaxError: Unexpected token > (and 14 more errors)
compat-table/es6/arrow.new-target.js: SyntaxError: Unexpected token > (and 1 more errors)
compat-table/es6/arrow.no-line-break.js: SyntaxError: Unexpected token ) (and 7 more errors)
compat-table/es6/arrow.no-prototype.js: SyntaxError: Unexpected token ) (and 2 more errors)
compat-table/es6/arrow.precedence.js: SyntaxError: Unexpected token ) (and 7 more errors)
compat-table/es6/arrow.this-call-apply.js: SyntaxError: Unexpected token ) (and 17 more errors)
compat-table/es6/class.accessor-properties.js: SyntaxError: Unexpected reserved word (and 6 more errors)
compat-table/es6/class.anonymous.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/class.block-scoped.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/class.computed-accessor-properties.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/class.computed-names-tdz.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.computed-prototype-methods.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.computed-static-accessor-properties.js: SyntaxError: Unexpected reserved word (and 6 more errors)
compat-table/es6/class.computed-static-methods.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.constructor-requires-new.js: SyntaxError: Unexpected reserved word
compat-table/es6/class.constructor.js: SyntaxError: Unexpected reserved word
compat-table/es6/class.expression.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/class.extends-expressions.js: SyntaxError: Unexpected reserved word
compat-table/es6/class.extends-null.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.extends.js: SyntaxError: Unexpected reserved word
compat-table/es6/class.implicit-strict.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.lexical-name.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.methods-not-enumerable.js: SyntaxError: Unexpected reserved word
compat-table/es6/class.new-target.js: SyntaxError: Unexpected token . (and 2 more errors)
compat-table/es6/class.optional-semicolons.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/class.prototype-methods.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.statement.js: SyntaxError: Unexpected reserved word
compat-table/es6/class.static-accessor-properties.js: SyntaxError: Unexpected reserved word (and 6 more errors)
compat-table/es6/class.static-methods.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/class.string-keyed-methods.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/const.basic.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/const.block-scoped.js: SyntaxError: Unexpected reserved word
compat-table/es6/const.for-in.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/const.for-loop.js: SyntaxError: Unexpected reserved word (and 6 more errors)
compat-table/es6/const.for-of.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/const.no-redefine.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/const.no-statement.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/const.shadow.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/const.strict.basic.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/const.strict.block-scoped.js: SyntaxError: Unexpected reserved word
compat-table/es6/const.strict.for-in.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/const.strict.for-loop.js: SyntaxError: Unexpected reserved word (and 6 more errors)
compat-table/es6/const.strict.for-of.js: SyntaxError: Unexpected reserved word (and 3 more errors)
compat-table/es6/const.strict.no-redefine.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/const.strict.no-statement.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/const.strict.shadow.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/const.strict.tdz.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/const.tdz.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/default-params.arguments.js: SyntaxError: Unexpected token = (and 5 more errors)
compat-table/es6/default-params.basic.js: SyntaxError: Unexpected token = (and 3 more errors)
compat-table/es6/default-params.explicit-undefined.js: SyntaxError: Unexpected token = (and 3 more errors)
compat-table/es6/default-params.new-function.js: SyntaxError: (anonymous): Line 1:13 Unexpected token = (and 3 more errors)
compat-table/es6/default-params.refer-previous.js: SyntaxError: Unexpected token =
compat-table/es6/default-params.separate-scope.js: SyntaxError: Unexpected token = (and 10 more errors)
compat-table/es6/default-params.tdz.js: SyntaxError: Unexpected token = (and 1 more errors)
compat-table/es6/destructuring-assign.array.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.astral-string.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.chained-iterable.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.chained-object.js: SyntaxError: Unexpected token , (and 5 more errors)
compat-table/es6/destructuring-assign.computed-properties.js: SyntaxError: Unexpected identifier (and 16 more errors)
compat-table/es6/destructuring-assign.defaults.js: SyntaxError: Unexpected token = (and 6 more errors)
compat-table/es6/destructuring-assign.empty-patterns.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.generator.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.iterable-expression.js: SyntaxError: invalid left-hand side in assignment (and 6 more errors)
compat-table/es6/destructuring-assign.iterable-instance.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.iterable.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.iterator-closing.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.nested-rest.js: SyntaxError: Unexpected token . (and 16 more errors)
compat-table/es6/destructuring-assign.nested.js: SyntaxError: Unexpected token } (and 17 more errors)
compat-table/es6/destructuring-assign.object-expression.js: SyntaxError: Unexpected token , (and 7 more errors)
compat-table/es6/destructuring-assign.object-primitives.js: SyntaxError: Unexpected token } (and 16 more errors)
compat-table/es6/destructuring-assign.object.js: SyntaxError: Unexpected token , (and 17 more errors)
compat-table/es6/destructuring-assign.parenthesised-error.js: SyntaxError: Unexpected token , (and 8 more errors)
compat-table/es6/destructuring-assign.rest.identical.js: SyntaxError: Unexpected token . (and 16 more errors)
compat-table/es6/destructuring-assign.rest.js: SyntaxError: Unexpected token . (and 16 more errors)
compat-table/es6/destructuring-assign.sparse-array.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.string.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.throws-null-undefined.js: SyntaxError: Unexpected token } (and 41 more errors)
compat-table/es6/destructuring-assign.trailing-comma-iterable.js: SyntaxError: invalid left-hand side in assignment (and 1 more errors)
compat-table/es6/destructuring-assign.trailing-comma-object.js: SyntaxError: Unexpected token , (and 16 more errors)
compat-table/es6/destructuring-decl.array.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.astral-string.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.catch.js: SyntaxError: Unexpected token [ (and 2 more errors)
compat-table/es6/destructuring-decl.computed-properties.js: SyntaxError: Unexpected token { (and 1 more errors)
compat-table/es6/destructuring-decl.defaults-tdz.js: SyntaxError: Unexpected token { (and 10 more errors)
compat-table/es6/destructuring-decl.defaults.js: SyntaxError: Unexpected token { (and 3 more errors)
compat-table/es6/destructuring-decl.for-in.js: SyntaxError: Unexpected token [ (and 6 more errors)
compat-table/es6/destructuring-decl.for-of.js: SyntaxError: Unexpected token [ (and 6 more errors)
compat-table/es6/destructuring-decl.generator.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.iterable-instance.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.iterable.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.iterator-closing.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.multiple-var.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.nested.js: SyntaxError: Unexpected token [ (and 4 more errors)
compat-table/es6/destructuring-decl.object-primitives.js: SyntaxError: Unexpected token { (and 3 more errors)
compat-table/es6/destructuring-decl.object.js: SyntaxError: Unexpected token { (and 1 more errors)
compat-table/es6/destructuring-decl.rest.identical.js: SyntaxError: Unexpected token [ (and 18 more errors)
compat-table/es6/destructuring-decl.rest.js: SyntaxError: Unexpected token [ (and 18 more errors)
compat-table/es6/destructuring-decl.sparse-array.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.string.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.throws-null-undefined.js: SyntaxError: Unexpected token { (and 3 more errors)
compat-table/es6/destructuring-decl.trailing-comma-iterable.js: SyntaxError: Unexpected token [ (and 1 more errors)
compat-table/es6/destructuring-decl.trailing-comma-object.js: SyntaxError: Unexpected token { (and 1 more errors)
compat-table/es6/destructuring-params.aliased-defaults-arrow.js: SyntaxError: invalid left-hand side in assignment (and 4 more errors)
compat-table/es6/destructuring-params.arguments.js: SyntaxError: Unexpected token { (and 15 more errors)
compat-table/es6/destructuring-params.array.js: SyntaxError: Unexpected token [ (and 6 more errors)
compat-table/es6/destructuring-params.astral-string.js: SyntaxError: Unexpected token [ (and 2 more errors)
compat-table/es6/destructuring-params.computed-properties.js: SyntaxError: Unexpected token { (and 5 more errors)
compat-table/es6/destructuring-params.defaults-new-function.js: SyntaxError: (anonymous): Line 1:11 Unexpected token { (and 24 more errors)
compat-table/es6/destructuring-params.defaults-separate-scope.js: SyntaxError: Unexpected token { (and 9 more errors)
compat-table/es6/destructuring-params.defaults.js: SyntaxError: Unexpected token { (and 37 more errors)
compat-table/es6/destructuring-params.duplicate-identifier.js: failed
compat-table/es6/destructuring-params.empty-patterns.js: SyntaxError: Unexpected token [ (and 4 more errors)
compat-table/es6/destructuring-params.generator.js: SyntaxError: Unexpected token [ (and 10 more errors)
compat-table/es6/destructuring-params.iterable-instance.js: SyntaxError: Unexpected token [ (and 6 more errors)
compat-table/es6/destructuring-params.iterable.js: SyntaxError: Unexpected token [ (and 6 more errors)
compat-table/es6/destructuring-params.iterator-closing.js: SyntaxError: Unexpected token [ (and 4 more errors)
compat-table/es6/destructuring-params.length.js: SyntaxError: Unexpected token { (and 9 more errors)
compat-table/es6/destructuring-params.nested.js: SyntaxError: Unexpected token [ (and 14 more errors)
compat-table/es6/destructuring-params.new-function.js: SyntaxError: (anonymous): Line 1:11 Unexpected token { (and 15 more errors)
compat-table/es6/destructuring-params.object-primitives.js: SyntaxError: Unexpected token { (and 5 more errors)
compat-table/es6/destructuring-params.object.js: SyntaxError: Unexpected token { (and 8 more errors)
compat-table/es6/destructuring-params.rest.js: SyntaxError: Unexpected token [ (and 13 more errors)
compat-table/es6/destructuring-params.shorthand-defaults-arrow.js: SyntaxError: Unexpected token = (and 6 more errors)
compat-table/es6/destructuring-params.sparse-array.js: SyntaxError: Unexpected token [ (and 3 more errors)
compat-table/es6/destructuring-params.string.js: SyntaxError: Unexpected token [ (and 6 more errors)
compat-table/es6/destructuring-params.throws-null-undefined.js: SyntaxError: Unexpected token { (and 5 more errors)
compat-table/es6/destructuring-params.trailing-comma-iterable.js: SyntaxError: Unexpected token [ (and 3 more errors)
compat-table/es6/destructuring-params.trailing-comma-object.js: SyntaxError: Unexpected token { (and 3 more errors)
compat-table/es6/for-of.array.js: SyntaxError: Unexpected identifier (and 3 more errors)
compat-table/es6/for-of.astral-string.js: SyntaxError: Unexpected identifier (and 2 more errors)
compat-table/es6/for-of.generator.js: SyntaxError: Unexpected token * (and 25 more errors)
compat-table/es6/for-of.iterable-instance.js: SyntaxError: Unexpected identifier (and 20 more errors)
compat-table/es6/for-of.iterable.js: SyntaxError: Unexpected identifier (and 20 more errors)
compat-table/es6/for-of.iterator-closing-break.js: SyntaxError: Unexpected identifier (and 3 more errors)
compat-table/es6/for-of.iterator-closing-throw.js: SyntaxError: Unexpected identifier (and 3 more errors)
compat-table/es6/for-of.sparse-array.js: SyntaxError: Unexpected identifier (and 2 more errors)
compat-table/es6/for-of.string.js: SyntaxError: Unexpected identifier (and 2 more errors)
compat-table/es6/function.block-level-decl.js: failed
compat-table/es6/generators.basic.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/generators.constructor.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/generators.expression.js: SyntaxError: Unexpected token * (and 3 more errors)
compat-table/es6/generators.no-new-this.js: SyntaxError: Unexpected token * (and 9 more errors)
compat-table/es6/generators.prototype-chain.js: SyntaxError: Unexpected token * (and 2 more errors)
compat-table/es6/generators.prototype.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/generators.return.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/generators.sending.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/generators.shorthand.class.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/generators.shorthand.computed.class.js: SyntaxError: Unexpected reserved word
compat-table/es6/generators.shorthand.computed.js: SyntaxError: Unexpected token [ (and 23 more errors)
compat-table/es6/generators.shorthand.js: SyntaxError: Unexpected identifier (and 22 more errors)
compat-table/es6/generators.shorthand.no-constructor.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/generators.shorthand.string-keyed.js: SyntaxError: Unexpected string (and 22 more errors)
compat-table/es6/generators.this.js: SyntaxError: Unexpected token * (and 6 more errors)
compat-table/es6/generators.throw.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/generators.yield-precedence.js: SyntaxError: Unexpected token * (and 6 more errors)
compat-table/es6/generators.yield-star.array.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.astral-string.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.generator.js: SyntaxError: Unexpected token * (and 6 more errors)
compat-table/es6/generators.yield-star.iterable-instance.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.iterable.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.iterator-closing-throw.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.iterator-closing.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.non-iterable-error.js: SyntaxError: Unexpected token * (and 3 more errors)
compat-table/es6/generators.yield-star.sparse-array.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/generators.yield-star.string.js: SyntaxError: Unexpected token * (and 1 more errors)
compat-table/es6/let.basic.js: SyntaxError: Unexpected identifier (and 2 more errors)
compat-table/es6/let.block-scoped.js: SyntaxError: Unexpected identifier (and 1 more errors)
compat-table/es6/let.for-in-shadow.js: failed
compat-table/es6/let.for-iteration.js: SyntaxError: Unexpected identifier (and 9 more errors)
compat-table/es6/let.for-loop.js: SyntaxError: Unexpected identifier (and 4 more errors)
compat-table/es6/let.no-statement.js: SyntaxError: Unexpected identifier (and 6 more errors)
compat-table/es6/let.shadow.js: SyntaxError: Unexpected identifier (and 6 more errors)
compat-table/es6/let.strict.basic.js: SyntaxError: Unexpected identifier (and 2 more errors)
compat-table/es6/let.strict.block-scoped.js: SyntaxError: Unexpected identifier (and 1 more errors)
compat-table/es6/let.strict.for-in-shadow.js: failed
compat-table/es6/let.strict.for-iteration.js: SyntaxError: Unexpected identifier (and 9 more errors)
compat-table/es6/let.strict.for-loop.js: SyntaxError: Unexpected identifier (and 4 more errors)
compat-table/es6/let.strict.no-statement.js: SyntaxError: Unexpected identifier (and 6 more errors)
compat-table/es6/let.strict.shadow.js: SyntaxError: Unexpected identifier (and 6 more errors)
compat-table/es6/let.strict.tdz.js: SyntaxError: Unexpected identifier (and 2 more errors)
